Title,Studio,Country code,UPC,EAN,Release date,Slipcover,Casing,Memorabilia,Blu-ray discs,DVD discs,Digital copy,Date added,Watched,Comment,Retailer,Price,Price comment
"Commando","20th Century Fox",AU,,9321337111964,April 2 2008,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Communion","Shout Factory",US,826663214819,0826663214819,February 22 2022,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Complete Sartana","Arrow",UK,,5027035021348,October 28 2019,0,Standard Blu-ray case,0,5,0,0,,0,,,,
"Contamination","Arrow",UK,,5027035012827,July 6 2015,1,Standard Blu-ray case,0,1,1,0,,0,,,,
"The Corpse Grinders -","Vinegar Syndrome",US,814456021249,,October 24 2017,1,Standard Blu-ray case,0,-1,-1,0,,0,,,,
"The Count Yorga Collection","Arrow",UK,,5027035015170,August 8 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Countess Dracula","Network",UK,,5027626707941,September 8 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Creature from the Black Lagoon: Complete Legacy Collection","Universal Studios",US,191329065020,0191329065020,August 28 2018,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"Crimes of Passion","Arrow",UK,,5027035015057,July 11 2016,1,Standard Blu-ray case,1,1,1,0,,0,,,,
"Cronenberg Collection","Via Vision Entertainment",AU,,9337369008806,May 4 2016,0,Standard Blu-ray case,0,3,0,0,April 25 2018,0,,,,
"Cross of Iron","Studio Canal",AU,,9317731134159,August 16 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Crow","Reel",AU,,9397912301280,October 7 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Crucible of Horror","Shout Factory",US,826663186321,0826663186321,April 10 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Crying Game","BFI Video",UK,,5035673012550,February 20 2017,0,Standard Blu-ray case,1,1,1,0,,0,,,,
"The Curse of the Werewolf","Shock",AU,,9345228003039,July 3 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Curtains","Synapse Films",US,654930316290,0654930316290,July 29 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Cut and Run","Code Red",US,,,December 11 2017,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Cutter's Way","Imprint",AU,,9337369029863,April 27 2022,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Cynic, the Rat and the Fist","88 Films",UK,,5060103799138,December 5 2016,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Daimajin Trilogy","Arrow",UK,,5027035023229,July 26 2021,0,Standard Blu-ray case,1,3,0,0,,0,,,,
"Dan Curtis' Dracula","MPI Media Group",US,030306192499,0030306192499,May 27 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Dario Argento Collection","Blue Underground",US,827058800198,0827058800198,March 31 2015,-1,Standard Blu-ray case,-1,3,-1,-1,,0,,,,
"The Dark Crystal 4K","Universal Sony Pictures Home Entertainment",AU,,9317731141096,March 7 2018,0,Standard Blu-ray case,0,2,0,1,,0,,,,
"The Dark Eyes of London","Network",UK,,5027626836047,October 11 2021,1,Standard Blu-ray case,1,1,0,0,,0,,,,
"Daughter of Dracula","Redemption",US,738329209360,0738329209360,October 4 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Daughter of the Nile","Eureka Entertainment",UK,,5060000702583,May 29 2017,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Dawn of the Dead","Universal Studios",AU,,5050582799873,September 29 2010,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"A Day of Judgment","Severin Films",US,760137637189,0760137637189,September 28 2021,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Day of the Dead","Umbrella Entertainment",AU,,9344256018152,November 7 2018,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"The Day of the Jackal","Arrow",UK,,5027035017402,September 4 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Day of the Reaper","SRS Cinema",US,674945133231,0674945133231,April 17 2018,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"Dead & Buried","Shock",AU,,9345228001707,November 20 2013,1,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Dead Calm","Warner Bros.",AU,,9325336060995,October 28 2009,-1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Dead Heat","88 Films",UK,,5060103799244,February 27 2017,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Dead Heat 4K","Vinegar Syndrome",US,814456024400,0814456024400,January 25 2022,1,Standard Blu-ray case,0,2,0,0,,0,,,,
