Title,Studio,Country code,UPC,EAN,Release date,Slipcover,Casing,Memorabilia,Blu-ray discs,DVD discs,Digital copy,Date added,Watched,Comment,Retailer,Price,Price comment
"Watership Down","Umbrella Entertainment",AU,,9344256018619,March 6 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Waxworks","Eureka Entertainment",UK,,5060000704020,November 9 2020,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Wayne's World","Paramount Pictures",AU,,9324915037984,November 3 2011,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Werner Herzog Collection","BFI Video",UK,,5035673011928,August 25 2014,0,DigiPack,0,8,0,0,,0,,,,
"What Have They Done to Your Daughters?","Arrow",US,760137149989,0760137149989,August 14 2018,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"What Have You Done to Solange?","Arrow",UK,,5027035013664,December 14 2015,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"When a Stranger Calls","Umbrella Entertainment",AU,,9344256011306,December 3 2014,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"White Dog","Eureka Entertainment",UK,,5060000701289,March 31 2014,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"White of the Eye","Arrow",UK,,5027035010786,March 31 2014,0,SteelBook,0,1,1,0,,0,,,,
"White Zombie","VCI",US,089859902222,0089859902222,May 6 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Who Can Kill a Child?","Mondo Macabro",US,843276018498,0843276018498,July 10 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Who Saw Her Die?","Arrow",US,760137279983,0760137279983,September 17 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Who's Afraid of Virginia Woolf?","Roadshow Entertainment",AU,,9398700008848,June 8 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Wicker Man","Studio Canal",UK,,5055201823328,October 14 2013,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"The Wind","Arrow",UK,,5027035021676,April 13 2020,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Windows","Shout Factory",US,826663177077,0826663177077,July 4 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Witches","Shock",AU,,5021456196418,October 2 2013,0,Standard Blu-ray case,0,1,1,0,April 25 2018,0,,,,
"The Witches of Eastwick","Warner Bros.",AU,,9325336110324,October 27 2010,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Witchfinder General","Shock",AU,,9345228002858,April 1 2015,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Wizards","Metro-Goldwyn-Mayer",AU,,5021456182237,October 30 2011,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Wolf Guy","Arrow",UK,,5027035016276,May 22 2017,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"The Wolf Man: Complete Legacy Collection","Universal Sony Pictures Home Entertainment",AU,,9317731134029,May 17 2017,0,Standard Blu-ray case,0,4,0,0,April 25 2018,0,,,,
"Wolfen","Warner Bros.",US,888574281564,0888574281564,June 2 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Woody Allen: Seven Films 1986-1991","Arrow",UK,,5027035014487,February 20 2017,0,Standard Blu-ray case,0,7,0,0,,0,,,,
"Woody Allen: Six Films 1971-1978","Arrow",UK,,5027035014463,September 26 2016,0,Standard Blu-ray case,0,6,0,0,,0,,,,
"Woody Allen: Six Films 1979-1985","Arrow",UK,,5027035014470,December 12 2016,0,Standard Blu-ray case,0,6,0,0,,0,,,,
"X-Ray","88 Films",UK,,5037899048269,June 22 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"XII","Icon Productions",AU,,9339065004236,June 8 2010,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Xtro","Second Sight",UK,,5028836040842,June 18 2018,0,DigiPack,1,1,0,0,,0,,,,
"Years of Lead: Five Classic Italian Crime Thrillers 1973-1977","Arrow",UK,,5027035024011,December 13 2021,0,Standard Blu-ray case,0,3,0,0,,0,,,,
"Yokai Monsters Collection","Arrow",UK,,5027035023748,October 18 2021,0,Standard Blu-ray case,1,3,0,0,,0,,,,
"Zaat","Film Chest",US,851169003100,0851169003100,February 21 2012,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Zeder","Code Red",US,853765005670,0853765005670,April 4 2017,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Zeder","88 Films",UK,,5060710971095,April 25 2022,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"The Zero Boys","Arrow",UK,,5027035014272,April 25 2016,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Zoltan: Hound of Dracula","Kino Lorber",US,738329240165,0738329240165,October 22 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Zombie","Blue Underground",US,827058802499,0827058802499,November 27 2018,1,Standard Blu-ray case,1,2,0,0,,0,,,,
"Zombie 4: After Death","Severin Films",US,663390002346,0663390002346,May 29 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Zombie Creeping Flesh","88 Films",UK,,5060496451255,August 28 2017,1,Standard Blu-ray case,1,1,0,0,,0,,,,
"Zombie Flesh Eaters","Umbrella Entertainment",AU,,9344256009693,February 4 2015,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Zombie Flesh Eaters 2","88 Films",UK,,5037899048412,December 7 2015,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"Zombie Flesh Eaters 3","88 Films",UK,,5060496452573,October 22 2018,1,Standard Blu-ray case,1,1,0,0,,0,,,,
"Zombie Holocaust","Umbrella Entertainment",AU,,9344256009709,February 4 2015,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Zombie Lake","Redemption",US,738329110826,0738329110826,February 26 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
